ledger_id,invoice_id,utr,amount,currency,invoice_date,merchant,fee_percentage,gateway_fee,gst_amount,tds_amount,settlement_date,type
LEDGER_REC_0001,INV-1000,UTR223005401501,704.00,INR,2026-08-06,Swiggy,2.00,14.08,2.53,7.04,2026-08-07,CREDIT
LEDGER_REC_0002,INV-1001,UTR345864938384,1643.00,INR,2026-08-06,Zomato,2.00,32.86,5.91,16.43,2026-08-06,CREDIT
LEDGER_REC_0003,INV-1002,UTR914655221101,4967.00,INR,2026-08-01,Uber India,2.00,99.34,17.88,49.67,2026-08-03,CREDIT
LEDGER_REC_0004,INV-1003,UTR136171878809,744.00,INR,2026-08-01,Amazon Pay,2.00,14.88,2.68,7.44,2026-08-01,CREDIT
LEDGER_REC_0005,INV-1004,UTR655050052120,717.00,INR,2026-08-05,Flipkart,2.00,14.34,2.58,7.17,2026-08-05,CREDIT
LEDGER_REC_0006,INV-1005,UTR816039851953,4964.00,INR,2026-08-04,Razorpay Software,2.00,99.28,17.87,49.64,2026-08-04,CREDIT
LEDGER_REC_0007,INV-1006,UTR746174432554,2778.00,INR,2026-08-01,Airtel Payments,2.00,55.56,10.00,27.78,2026-08-01,CREDIT
LEDGER_REC_0008,INV-1007,UTR566854953850,3287.00,INR,2026-08-03,Reliance Jio,2.00,65.74,11.83,32.87,2026-08-03,CREDIT
LEDGER_REC_0009,INV-1008,UTR472646369774,1337.00,INR,2026-08-01,Netflix India,2.00,26.74,4.81,13.37,2026-08-02,CREDIT
LEDGER_REC_0010,INV-1009,UTR491257417623,3317.00,INR,2026-08-05,Spotify Music,2.00,66.34,11.94,33.17,2026-08-06,CREDIT
LEDGER_REC_0011,INV-1010,UTR150711229823,4263.00,INR,2026-08-05,Swiggy,2.00,85.26,15.35,42.63,2026-08-05,CREDIT
LEDGER_REC_0012,INV-1011,UTR187525138707,2901.00,INR,2026-08-06,Zomato,2.00,58.02,10.44,29.01,2026-08-08,CREDIT
LEDGER_REC_0013,INV-1012,UTR732913403120,2075.00,INR,2026-08-06,Uber India,2.00,41.50,7.47,20.75,2026-08-06,CREDIT
LEDGER_REC_0014,INV-1013,UTR826046287257,2366.00,INR,2026-08-03,Amazon Pay,2.00,47.32,8.52,23.66,2026-08-03,CREDIT
LEDGER_REC_0015,INV-1014,UTR357076632102,1327.00,INR,2026-08-04,Flipkart,2.00,26.54,4.78,13.27,2026-08-05,CREDIT
LEDGER_REC_0016,INV-1015,UTR797732084371,3488.00,INR,2026-08-02,Razorpay Software,2.00,69.76,12.56,34.88,2026-08-03,CREDIT
LEDGER_REC_0017,INV-1016,UTR329159142739,2687.00,INR,2026-08-06,Airtel Payments,2.00,53.74,9.67,26.87,2026-08-08,CREDIT
LEDGER_REC_0018,INV-1017,UTR180092702123,1901.00,INR,2026-08-05,Reliance Jio,2.00,38.02,6.84,19.01,2026-08-07,CREDIT
LEDGER_REC_0019,INV-1018,UTR277145114059,4286.00,INR,2026-08-04,Netflix India,2.00,85.72,15.43,42.86,2026-08-05,CREDIT
LEDGER_REC_0020,INV-1019,UTR858663022120,2299.00,INR,2026-08-06,Spotify Music,2.00,45.98,8.28,22.99,2026-08-07,CREDIT
LEDGER_REC_0021,INV-1020,UTR945433611429,958.00,INR,2026-08-02,Swiggy,2.00,19.16,3.45,9.58,2026-08-02,CREDIT
LEDGER_REC_0022,INV-1021,UTR447055029070,3786.00,INR,2026-08-03,Zomato,2.00,75.72,13.63,37.86,2026-08-03,CREDIT
LEDGER_REC_0023,INV-1022,UTR726820024292,3077.00,INR,2026-08-02,Uber India,2.00,61.54,11.08,30.77,2026-08-04,CREDIT
LEDGER_REC_0024,INV-1023,UTR535935878833,4258.00,INR,2026-08-02,Amazon Pay,2.00,85.16,15.33,42.58,2026-08-03,CREDIT
LEDGER_REC_0025,INV-1024,UTR371182647325,4915.00,INR,2026-08-03,Flipkart,2.00,98.30,17.69,49.15,2026-08-05,CREDIT
LEDGER_REC_0026,INV-1025,UTR570662212985,3771.00,INR,2026-08-03,Razorpay Software,2.00,75.42,13.58,37.71,2026-08-03,CREDIT
LEDGER_REC_0027,INV-1026,UTR658939878788,4542.00,INR,2026-08-01,Airtel Payments,2.00,90.84,16.35,45.42,2026-08-01,CREDIT
LEDGER_REC_0028,INV-1027,UTR223957493142,1752.00,INR,2026-08-06,Reliance Jio,2.00,35.04,6.31,17.52,2026-08-06,CREDIT
LEDGER_REC_0029,INV-1028,UTR850726264460,3958.00,INR,2026-08-05,Netflix India,2.00,79.16,14.25,39.58,2026-08-05,CREDIT
LEDGER_REC_0030,INV-1029,UTR518264390725,4334.00,INR,2026-08-05,Spotify Music,2.00,86.68,15.60,43.34,2026-08-06,CREDIT
LEDGER_REC_0031,INV-2000,UTR709761138617,988.00,INR,2026-08-12,SWIGGY PVT LTD,1.75,17.29,3.11,9.88,2026-08-13,CREDIT
LEDGER_REC_0032,INV-2001,UTR926939990836,5171.00,INR,2026-08-13,ZOMATO MEDIA PVT,1.75,90.49,16.29,51.71,2026-08-15,CREDIT
LEDGER_REC_0033,INV-2002,UTR422601660137,7923.00,INR,2026-08-08,UBER TRIP PAYMENT,1.75,138.65,24.96,79.23,2026-08-10,CREDIT
LEDGER_REC_0034,INV-2003,UTR390853813771,9001.00,INR,2026-08-13,AMAZON PAY INDIA,1.75,157.52,28.35,90.01,2026-08-14,CREDIT
LEDGER_REC_0035,INV-2004,UTR429103158382,9117.00,INR,2026-08-11,FLIPKART PAYMENTS,1.75,159.55,28.72,91.17,2026-08-12,CREDIT
LEDGER_REC_0036,INV-2005,UTR508678332797,3446.00,INR,2026-08-11,RAZORPAY BANGALORE,1.75,60.30,10.85,34.46,2026-08-12,CREDIT
LEDGER_REC_0037,INV-2006,UTR454759765684,8805.00,INR,2026-08-07,AIRTEL PREPAID,1.75,154.09,27.74,88.05,2026-08-08,CREDIT
LEDGER_REC_0038,INV-2007,UTR499127439409,5838.00,INR,2026-08-08,RELIANCE JIO INFO,1.75,102.16,18.39,58.38,2026-08-09,CREDIT
LEDGER_REC_0039,INV-2008,UTR190532572167,8762.00,INR,2026-08-13,NETFLIX SERVICES IN,1.75,153.34,27.60,87.62,2026-08-14,CREDIT
LEDGER_REC_0040,INV-2009,UTR937424066816,9527.00,INR,2026-08-13,SPOTIFY AB INDIA,1.75,166.72,30.01,95.27,2026-08-14,CREDIT
LEDGER_REC_0041,INV-2010,UTR822105942877,8587.00,INR,2026-08-11,SWIGGY PVT LTD,1.75,150.27,27.05,85.87,2026-08-12,CREDIT
LEDGER_REC_0042,INV-2011,UTR680958994499,7732.00,INR,2026-08-08,ZOMATO MEDIA PVT,1.75,135.31,24.36,77.32,2026-08-09,CREDIT
LEDGER_REC_0043,INV-2012,UTR442364508902,7337.00,INR,2026-08-12,UBER TRIP PAYMENT,1.75,128.40,23.11,73.37,2026-08-14,CREDIT
LEDGER_REC_0044,INV-2013,UTR596144210356,2782.00,INR,2026-08-08,AMAZON PAY INDIA,1.75,48.68,8.76,27.82,2026-08-09,CREDIT
LEDGER_REC_0045,INV-2014,UTR469642176604,1144.00,INR,2026-08-11,FLIPKART PAYMENTS,1.75,20.02,3.60,11.44,2026-08-12,CREDIT
LEDGER_REC_0046,INV-2015,UTR343045499634,917.00,INR,2026-08-07,RAZORPAY BANGALORE,1.75,16.05,2.89,9.17,2026-08-08,CREDIT
LEDGER_REC_0047,INV-2016,UTR173997741524,1314.00,INR,2026-08-13,AIRTEL PREPAID,1.75,23.00,4.14,13.14,2026-08-15,CREDIT
LEDGER_REC_0048,INV-2017,UTR662945045779,4699.00,INR,2026-08-09,RELIANCE JIO INFO,1.75,82.23,14.80,46.99,2026-08-11,CREDIT
LEDGER_REC_0049,INV-2018,UTR693625626938,2967.00,INR,2026-08-12,NETFLIX SERVICES IN,1.75,51.92,9.35,29.67,2026-08-14,CREDIT
LEDGER_REC_0050,INV-2019,UTR960037124392,8549.00,INR,2026-08-13,SPOTIFY AB INDIA,1.75,149.61,26.93,85.49,2026-08-15,CREDIT
LEDGER_REC_0051,INV-2020,UTR203897019487,2388.00,INR,2026-08-12,SWIGGY PVT LTD,1.75,41.79,7.52,23.88,2026-08-14,CREDIT
LEDGER_REC_0052,INV-2021,UTR565378164447,7535.00,INR,2026-08-10,ZOMATO MEDIA PVT,1.75,131.86,23.73,75.35,2026-08-11,CREDIT
