transaction_id,utr,amount,currency,transaction_date,merchant,fee_percentage,gateway_fee,gst_amount,tds_amount,settlement_date,type
BANK_TX_0001,UTR223005401501,704.00,INR,2026-08-06,Swiggy,2.00,14.08,2.53,7.04,2026-08-07,CREDIT
BANK_TX_0002,UTR345864938384,1643.00,INR,2026-08-06,Zomato,2.00,32.86,5.91,16.43,2026-08-06,CREDIT
BANK_TX_0003,UTR914655221101,4967.00,INR,2026-08-01,Uber India,2.00,99.34,17.88,49.67,2026-08-03,CREDIT
BANK_TX_0004,UTR136171878809,744.00,INR,2026-08-01,Amazon Pay,2.00,14.88,2.68,7.44,2026-08-01,CREDIT
BANK_TX_0005,UTR655050052120,717.00,INR,2026-08-05,Flipkart,2.00,14.34,2.58,7.17,2026-08-05,CREDIT
BANK_TX_0006,UTR816039851953,4964.00,INR,2026-08-04,Razorpay Software,2.00,99.28,17.87,49.64,2026-08-04,CREDIT
BANK_TX_0007,UTR746174432554,2778.00,INR,2026-08-01,Airtel Payments,2.00,55.56,10.00,27.78,2026-08-01,CREDIT
BANK_TX_0008,UTR566854953850,3287.00,INR,2026-08-03,Reliance Jio,2.00,65.74,11.83,32.87,2026-08-03,CREDIT
BANK_TX_0009,UTR472646369774,1337.00,INR,2026-08-01,Netflix India,2.00,26.74,4.81,13.37,2026-08-02,CREDIT
BANK_TX_0010,UTR491257417623,3317.00,INR,2026-08-05,Spotify Music,2.00,66.34,11.94,33.17,2026-08-06,CREDIT
BANK_TX_0011,UTR150711229823,4263.00,INR,2026-08-05,Swiggy,2.00,85.26,15.35,42.63,2026-08-05,CREDIT
BANK_TX_0012,UTR187525138707,2901.00,INR,2026-08-06,Zomato,2.00,58.02,10.44,29.01,2026-08-08,CREDIT
BANK_TX_0013,UTR732913403120,2075.00,INR,2026-08-06,Uber India,2.00,41.50,7.47,20.75,2026-08-06,CREDIT
BANK_TX_0014,UTR826046287257,2366.00,INR,2026-08-03,Amazon Pay,2.00,47.32,8.52,23.66,2026-08-03,CREDIT
BANK_TX_0015,UTR357076632102,1327.00,INR,2026-08-04,Flipkart,2.00,26.54,4.78,13.27,2026-08-05,CREDIT
BANK_TX_0016,UTR797732084371,3488.00,INR,2026-08-02,Razorpay Software,2.00,69.76,12.56,34.88,2026-08-03,CREDIT
BANK_TX_0017,UTR329159142739,2687.00,INR,2026-08-06,Airtel Payments,2.00,53.74,9.67,26.87,2026-08-08,CREDIT
BANK_TX_0018,UTR180092702123,1901.00,INR,2026-08-05,Reliance Jio,2.00,38.02,6.84,19.01,2026-08-07,CREDIT
BANK_TX_0019,UTR277145114059,4286.00,INR,2026-08-04,Netflix India,2.00,85.72,15.43,42.86,2026-08-05,CREDIT
BANK_TX_0020,UTR858663022120,2299.00,INR,2026-08-06,Spotify Music,2.00,45.98,8.28,22.99,2026-08-07,CREDIT
BANK_TX_0021,UTR945433611429,958.00,INR,2026-08-02,Swiggy,2.00,19.16,3.45,9.58,2026-08-02,CREDIT
BANK_TX_0022,UTR447055029070,3786.00,INR,2026-08-03,Zomato,2.00,75.72,13.63,37.86,2026-08-03,CREDIT
BANK_TX_0023,UTR726820024292,3077.00,INR,2026-08-02,Uber India,2.00,61.54,11.08,30.77,2026-08-04,CREDIT
BANK_TX_0024,UTR535935878833,4258.00,INR,2026-08-02,Amazon Pay,2.00,85.16,15.33,42.58,2026-08-03,CREDIT
BANK_TX_0025,UTR371182647325,4915.00,INR,2026-08-03,Flipkart,2.00,98.30,17.69,49.15,2026-08-05,CREDIT
BANK_TX_0026,UTR570662212985,3771.00,INR,2026-08-03,Razorpay Software,2.00,75.42,13.58,37.71,2026-08-03,CREDIT
BANK_TX_0027,UTR658939878788,4542.00,INR,2026-08-01,Airtel Payments,2.00,90.84,16.35,45.42,2026-08-01,CREDIT
BANK_TX_0028,UTR223957493142,1752.00,INR,2026-08-06,Reliance Jio,2.00,35.04,6.31,17.52,2026-08-06,CREDIT
BANK_TX_0029,UTR850726264460,3958.00,INR,2026-08-05,Netflix India,2.00,79.16,14.25,39.58,2026-08-05,CREDIT
BANK_TX_0030,UTR518264390725,4334.00,INR,2026-08-05,Spotify Music,2.00,86.68,15.60,43.34,2026-08-06,CREDIT
BANK_TX_0031,UTR709761138617,988.00,INR,2026-08-12,Swiggy Bangalore,1.75,17.29,3.11,9.88,2026-08-13,CREDIT
BANK_TX_0032,UTR926939990836,5171.00,INR,2026-08-13,Zomato Limited,1.75,90.49,16.29,51.71,2026-08-15,CREDIT
BANK_TX_0033,UTR422601660137,7923.00,INR,2026-08-08,Uber Systems India,1.75,138.65,24.96,79.23,2026-08-10,CREDIT
BANK_TX_0034,UTR390853813771,9001.00,INR,2026-08-13,Amazon Seller Services,1.75,157.52,28.35,90.01,2026-08-14,CREDIT
BANK_TX_0035,UTR429103158382,9117.00,INR,2026-08-11,Flipkart Internet Pvt,1.75,159.55,28.72,91.17,2026-08-12,CREDIT
BANK_TX_0036,UTR508678332797,3446.00,INR,2026-08-11,Razorpay Merchant,1.75,60.30,10.85,34.46,2026-08-12,CREDIT
BANK_TX_0037,UTR454759765684,8805.00,INR,2026-08-07,Bharti Airtel Ltd,1.75,154.09,27.74,88.05,2026-08-08,CREDIT
BANK_TX_0038,UTR499127439409,5838.00,INR,2026-08-08,Jio Infocomm Ltd,1.75,102.16,18.39,58.38,2026-08-09,CREDIT
BANK_TX_0039,UTR190532572167,8762.00,INR,2026-08-13,Netflix Entertainment,1.75,153.34,27.60,87.62,2026-08-14,CREDIT
BANK_TX_0040,UTR937424066816,9527.00,INR,2026-08-13,Spotify India Pvt,1.75,166.72,30.01,95.27,2026-08-14,CREDIT
BANK_TX_0041,UTR822105942877,8587.00,INR,2026-08-11,Swiggy Bangalore,1.75,150.27,27.05,85.87,2026-08-12,CREDIT
BANK_TX_0042,UTR680958994499,7732.00,INR,2026-08-08,Zomato Limited,1.75,135.31,24.36,77.32,2026-08-09,CREDIT
BANK_TX_0043,UTR442364508902,7337.00,INR,2026-08-12,Uber Systems India,1.75,128.40,23.11,73.37,2026-08-14,CREDIT
BANK_TX_0044,UTR596144210356,2782.00,INR,2026-08-08,Amazon Seller Services,1.75,48.68,8.76,27.82,2026-08-09,CREDIT
BANK_TX_0045,UTR469642176604,1144.00,INR,2026-08-11,Flipkart Internet Pvt,1.75,20.02,3.60,11.44,2026-08-12,CREDIT
BANK_TX_0046,UTR343045499634,917.00,INR,2026-08-07,Razorpay Merchant,1.75,16.05,2.89,9.17,2026-08-08,CREDIT
BANK_TX_0047,UTR173997741524,1314.00,INR,2026-08-13,Bharti Airtel Ltd,1.75,23.00,4.14,13.14,2026-08-15,CREDIT
BANK_TX_0048,UTR662945045779,4699.00,INR,2026-08-09,Jio Infocomm Ltd,1.75,82.23,14.80,46.99,2026-08-11,CREDIT
BANK_TX_0049,UTR693625626938,2967.00,INR,2026-08-12,Netflix Entertainment,1.75,51.92,9.35,29.67,2026-08-14,CREDIT
BANK_TX_0050,UTR960037124392,8549.00,INR,2026-08-13,Spotify India Pvt,1.75,149.61,26.93,85.49,2026-08-15,CREDIT
BANK_TX_0051,UTR203897019487,2388.00,INR,2026-08-12,Swiggy Bangalore,1.75,41.79,7.52,23.88,2026-08-14,CREDIT
BANK_TX_0052,UTR565378164447,7535.00,INR,2026-08-10,Zomato Limited,1.75,131.86,23.73,75.35,2026-08-11,CREDIT
BANK_TX_0053,UTR820151617123,2412.00,INR,2026-08-07,Uber Systems India,1.75,42.21,7.60,24.12,2026-08-09,CREDIT
BANK_TX_0054,UTR472494841003,2590.00,INR,2026-08-08,Amazon Seller Services,1.75,45.32,8.16,25.90,2026-08-09,CREDIT
BANK_TX_0055,UTR689227460591,8150.00,INR,2026-08-08,Flipkart Internet Pvt,1.75,142.62,25.67,81.50,2026-08-10,CREDIT
BANK_TX_0056,,2703.00,INR,2026-08-16,Swiggy,2.00,69.06,6.49,0.00,2026-08-17,CREDIT
BANK_TX_0057,,1817.00,INR,2026-08-17,Zomato,2.00,51.34,4.36,0.00,2026-08-18,CREDIT
BANK_TX_0058,,5708.00,INR,2026-08-14,Uber India,2.00,129.16,13.70,0.00,2026-08-15,CREDIT
BANK_TX_0059,,5628.00,INR,2026-08-14,Amazon Pay,2.00,127.56,13.51,0.00,2026-08-15,CREDIT
BANK_TX_0060,,1964.00,INR,2026-08-15,Flipkart,2.00,54.28,4.71,0.00,2026-08-16,CREDIT
BANK_TX_0061,,5178.00,INR,2026-08-17,Razorpay Software,2.00,103.56,18.64,51.78,2026-08-18,CREDIT
BANK_TX_0062,,2951.00,INR,2026-08-17,Airtel Payments,2.00,59.02,10.62,29.51,2026-08-18,CREDIT
BANK_TX_0063,,2548.00,INR,2026-08-17,Reliance Jio,2.00,50.96,9.17,25.48,2026-08-18,CREDIT
BANK_TX_0064,,1217.00,INR,2026-08-17,Netflix India,2.00,24.34,4.38,12.17,2026-08-18,CREDIT
BANK_TX_0065,,4927.00,INR,2026-08-16,Spotify Music,2.00,98.54,17.74,49.27,2026-08-17,CREDIT
BANK_TX_0066,,4665.00,INR,2026-08-19,Swiggy,2.00,93.30,16.79,46.65,2026-08-20,CREDIT
BANK_TX_0067,,5752.00,INR,2026-08-19,Zomato,2.00,115.04,20.71,57.52,2026-08-20,CREDIT
BANK_TX_0068,,7085.00,INR,2026-08-17,Uber India,2.00,141.70,25.51,70.85,2026-08-18,CREDIT
BANK_TX_0069,,3630.00,INR,2026-08-15,Amazon Pay,2.00,72.60,13.07,36.30,2026-08-16,CREDIT
BANK_TX_0070,,1679.00,INR,2026-08-18,Flipkart,2.00,33.58,6.04,16.79,2026-08-19,CREDIT
BANK_TX_0071,UTR920600564299,3569.00,INR,2026-08-20,Swiggy,2.00,71.38,12.85,35.69,2026-08-21,CREDIT
BANK_TX_0072,UTR626495033786,5119.00,INR,2026-08-20,Zomato,2.00,102.38,18.43,51.19,2026-08-21,CREDIT
BANK_TX_0073,UTR662472262434,1656.00,INR,2026-08-20,Uber India,2.00,33.12,5.96,16.56,2026-08-21,CREDIT
BANK_TX_0074,UTR175570100353,6531.00,INR,2026-08-23,Amazon Pay,2.00,130.62,23.51,65.31,2026-08-24,CREDIT
BANK_TX_0075,UTR726594012825,3016.00,INR,2026-08-20,Flipkart,2.00,60.32,10.86,30.16,2026-08-21,CREDIT
BANK_TX_0076,UTR823355063011,5781.00,INR,2026-08-22,Razorpay Software,2.00,115.62,20.81,57.81,2026-08-23,CREDIT
BANK_TX_0077,UTR835316694200,6867.00,INR,2026-08-21,Airtel Payments,2.00,137.34,24.72,68.67,2026-08-22,CREDIT
BANK_TX_0078,UTR534932502545,2072.00,INR,2026-08-23,Reliance Jio,2.00,41.44,7.46,20.72,2026-08-24,CREDIT
