bank_transaction_id,expected_ledger_id,expected_status,scenario
BANK_TX_0001,LEDGER_REC_0001,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0002,LEDGER_REC_0002,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0003,LEDGER_REC_0003,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0004,LEDGER_REC_0004,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0005,LEDGER_REC_0005,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0006,LEDGER_REC_0006,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0007,LEDGER_REC_0007,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0008,LEDGER_REC_0008,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0009,LEDGER_REC_0009,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0010,LEDGER_REC_0010,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0011,LEDGER_REC_0011,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0012,LEDGER_REC_0012,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0013,LEDGER_REC_0013,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0014,LEDGER_REC_0014,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0015,LEDGER_REC_0015,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0016,LEDGER_REC_0016,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0017,LEDGER_REC_0017,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0018,LEDGER_REC_0018,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0019,LEDGER_REC_0019,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0020,LEDGER_REC_0020,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0021,LEDGER_REC_0021,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0022,LEDGER_REC_0022,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0023,LEDGER_REC_0023,MATCHED,EXACT_SAFE_MATCH
